timestamp,action,hours_open,x_exchange,y_exchange,x_price,y_price,x_funding_rate,y_funding_rate,receiver,x_is_long,y_is_long,exit_reason,reason
2025-11-22 02:05:02.878859,hold,,hyperliquid,lighter,2771.8,2769.72,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:06:02.879100,hold,,hyperliquid,lighter,2768.5,2764.31,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:07:02.879373,hold,,hyperliquid,lighter,2763.4,2766.26,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:08:02.879618,hold,,hyperliquid,lighter,2764.6,2768.68,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:09:02.879888,hold,,hyperliquid,lighter,2767.4,2766.7,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:10:02.880130,hold,,hyperliquid,lighter,2765.6,2762.07,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:11:02.880374,hold,,hyperliquid,lighter,2760.6,2760.86,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:12:02.880618,hold,,hyperliquid,lighter,2760.2,2761.5,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:13:02.880872,hold,,hyperliquid,lighter,2760.0,2761.38,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:14:02.881146,hold,,hyperliquid,lighter,2760.3,2761.52,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:15:02.881387,hold,,hyperliquid,lighter,2759.9,2760.93,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:16:02.881623,hold,,hyperliquid,lighter,2759.3,2761.63,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:17:02.881850,hold,,hyperliquid,lighter,2759.9,2760.93,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:18:02.882073,hold,,hyperliquid,lighter,2759.5,2754.79,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:19:02.882346,hold,,hyperliquid,lighter,2753.6,2754.28,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:20:02.882518,hold,,hyperliquid,lighter,2752.5,2753.5,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:21:02.882749,hold,,hyperliquid,lighter,2752.1,2752.95,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:22:02.882980,hold,,hyperliquid,lighter,2751.8,2752.49,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:23:02.883200,hold,,hyperliquid,lighter,2750.9,2751.93,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
